taxa,PC1,PC2,PC3
N0298,-145.866800602792,-26.6470580039936,-55.91131525601
N0299,-142.920594197678,-27.6300750349332,-53.5266994557991
N0300,-158.662178826719,-12.1427497025555,-17.1212098382884
N0301,-149.185017665266,-23.9008790218671,-37.3403447339316
N0302,-157.500869361941,-14.5857266518111,-15.0265165714591
N0303,-161.193358595826,-12.9029087083791,-15.2356800311871
N0304,-155.302270369613,-19.6558762764542,-32.3248429183442
N0305,-159.477891784854,-16.6288053522799,-21.7759669699924
N0306,-150.760843124095,-14.0501635613312,-35.8112962675143
N0307,-164.334261908799,-16.6055272376711,-17.9600591158129
N0308,-156.929338500376,-19.462683465514,-26.5158237289448
N0309,-156.655632881411,-20.5403341218614,-35.7274452645753
N0310,-146.318439225871,-15.2339382483228,-39.2067460354807
N0311,6.78114639100905,16.0496398363827,-42.9472667064318
N0312,-3.39810684345926,14.3503605464817,-36.3351220190064
N0313,-142.926880997594,-28.555218417716,-55.5036917693868
N0314,-143.400575100582,-28.0240038412667,-54.1361612670349
N0315,-153.657729207069,-19.8211186208426,-43.1232338110722
N0316,-143.974855352158,-21.5640066491933,-47.8764965976494
N0317,-146.402466086543,-18.2083686473738,-36.3329746190072
N0318,-141.749600551243,-24.7284976153067,-63.3551837794751
N0319,-145.565690309039,-24.905597910124,-49.0825771701316
N0320,-158.125390229706,-11.2089715645943,-25.9136525393962
N0321,-149.559410023712,-22.0684593183162,-36.7574520034115
N0322,-153.605670216789,-9.28409581259776,-21.4776938398129
N0323,-154.485995004841,-11.3175844147095,-26.5544291345857
N0324,-143.765744881462,-23.7602507817596,-57.1093154582341
N0328,-149.08670067247,-25.4517804015664,-32.5811190920195
N0329,-157.75880612894,-20.1836186396984,-23.2148961602168
N0330,-156.250453470463,-18.7790586237924,-19.8198303461483
N0331,-155.269048413377,-21.5174140159157,-26.8770586760858
N0332,-164.238358890905,-12.9158552260949,-7.32455978760262
N0333,-159.539370529273,-18.8234565435679,-17.0819237562642
N0334,-158.473560854328,-21.3561320075177,-19.6753788248845
N0335,-160.292931194135,-11.3047016305638,-0.048375131460935
N0336,-152.50366942885,-21.2839677750636,-25.9460844645056
N0337,-159.438985492319,-21.1246442614074,-13.5737116950151
N0338,-165.155597638438,-17.460576279996,-8.32499592525407
N0339,-164.896775871401,-17.4614937916039,-8.58973671572235
N0340,-151.096312842226,-5.01185801838998,12.3572400268302
N0341,-166.52665731464,-6.79212886077122,6.51982864390799
N0342,-154.327737947984,-16.0318844761989,-15.1080259088119
N0343,-154.762227242257,-19.6498327921653,-16.4624270458493
N0344,-150.315033735258,-23.8700124618585,-34.1020433218006
N0345,-163.255798876516,-10.9286426774224,-9.08319639588562
N0346,-146.197677807734,-13.0943605743339,-0.913142784026644
N0347,-146.614032379045,-13.3698172510522,-1.10336986969199
N0348,-157.993806464112,-17.6434331012905,-19.4522850378382
N0349,-167.570209925846,-3.03644716425862,10.8812310991995
N0350,-157.928774974174,-17.7090434111539,-20.2371837040046
N0351,-160.868240149761,-14.6591147380842,-10.0501566925499
N0352,-145.097502965856,-16.2293162579183,-26.7989706469532
N0353,-162.744214594207,-13.5541630795072,1.42481867756349
N0354,-140.273127774406,-18.7270124490845,-40.2594717790828
N0355,-140.508290343608,-18.4558175810425,-41.30936993927
N0356,-157.877867263794,-16.7036765754654,-6.88058307623067
N0357,-151.288801293018,-20.4327261888807,-24.9141666830438
N0358,-169.996579881106,-3.3856415874835,11.0023590711872
N0359,-99.7496356450803,-6.47676500289547,-7.40487449277208
N0360,-164.259094655928,-11.8913260352748,-5.91570753165552
N0361,-160.445939454156,-13.792958887649,-9.05951815195856
N0362,-30.6343670119016,-3.31639533548334,-13.1696053483683
N0363,-135.395245490813,-2.78969017616516,-5.21027928009892
N0364,-163.866601206039,-16.871088821113,-8.61409033533694
N0365,-154.340553819371,-15.9234855711832,-19.1524793665718
N0366,-165.337650702858,-12.4508313833988,-6.49366545688366
N0367,-157.326913791976,-24.9310637795393,-26.2877234339084
N0368,-162.456376736145,-12.3539192979649,-7.15974846835133
N0369,-156.130686839663,-21.2702279184853,-16.2918685246618
N0370,-151.463090084351,-22.9629048060676,-28.5405376627843
N0371,-159.128337347814,-19.620163066606,-16.7869471764565
N0372,-156.46272239024,-24.3264852938593,-25.334642902935
N0373,-162.694375866336,-5.99730241034081,2.07010077148315
N0374,-167.590693935473,-7.4105972798978,8.7211255440103
N0375,-156.212931063284,-21.5355638857447,-18.3511081066558
N0376,-150.378366942738,-25.0531197751559,-32.6751796082974
N0377,-156.033731070959,-17.4588272649213,-13.0594952549857
N0378,-162.971774875312,-13.0653807059031,-5.71813301113558
N0379,-160.985203284651,-15.2322320261172,-0.0738532755813053
N0380,-157.48373813219,-14.2595130474486,-14.7356241292096
N0381,-159.268407897298,-14.8793470713839,-12.6710568796113
N0382,-157.084830095539,-16.9587399022926,-14.8357882763679
N0383,-149.048439198978,-13.059796034265,-7.47762054509905
N0384,-160.006823793241,-16.4363472342044,-4.48256911009509
N0385,-167.002763274322,-13.6292435006999,-3.73668221788701
N0386,-96.3320821700843,-2.00792487232818,-27.2167405753926
N0387,-160.524821063424,-8.47915293803699,3.32512874745402
N0388,-0.566428030079749,-2.02247391453601,-21.5253664697924
N0389,-157.970876965629,-19.2799114271673,-17.2784014136596
N0390,-155.919620599859,-20.2501944080531,-14.0519129085811
N0391,-159.96091143296,-17.4053253229757,-21.5166401732893
N0392,-154.573263466561,-15.950816901271,-18.7543771340172
N0393,-160.34310107165,-7.65132367129174,3.42717177310443
N0394,-158.656282867333,-7.70554997133836,-2.36407240695271
N0395,-164.360688532876,-9.52982897923061,1.33115505763342
N0396,-160.718409853092,-13.9904297419159,-4.84571714635655
N0397,-135.635054939974,-3.07066594720092,2.62258431355952
N0398,-165.22033947363,-13.5359644712243,-11.7341287020156
N0399,-166.865267795895,-9.00185094382615,7.4704697056315
N0400,-61.5266106477993,14.5033533818952,-7.44336374941368
N0401,-165.911737597089,-6.59181612949064,1.4554671563633
N0402,-125.541588186124,-9.75847515601218,-13.7573050929661
N0403,-155.869328303582,-14.2713625356737,-15.2558174753666
N0404,1.96390727976231,24.7630137516208,-29.0840934632353
N0405,-153.499374808329,-20.2840443551331,-18.8485421304034
N0406,-156.425980545193,-19.6520517543679,-21.5991269782053
N0407,-157.356980699951,-19.3808903003333,-14.0673034063862
N0408,1.6995549932383,24.750204452427,-28.9087037186123
N0409,-159.304417978359,-14.1325820062869,-1.59389663139136
N0410,-145.067023481786,3.39321912516085,18.958417722203
N0411,-156.273413392487,-20.6175391961908,-16.4297958841106
N0412,-39.5679963477435,-6.29642803923957,-4.46887321231502
N0413,-161.858960713042,-17.2378470401425,-12.6522644122842
N0414,-169.202508465874,-11.0258091081631,-3.67175955522655
N0415,-167.491560129051,-10.81305254656,-4.52984662556335
N0416,-151.900960405891,-23.3186488083795,-27.4494238122332
N0417,-164.922003578394,-8.38481244967587,-1.61295012626652
N0418,-161.119618535462,-13.796886699293,-10.5196686253273
N0419,-163.637276358944,-10.1511392221077,6.24839538353016
N0420,-166.301901286079,-9.92798635656774,-0.813614796283267
N0421,-159.84541935032,-19.0043409790368,-14.1861864945973
N0422,-163.167038951612,-11.2379213752209,-5.05315662462772
N0423,-99.0400779571511,10.2209025738491,-13.3521370168681
N0424,-167.482369358124,-6.55158470786054,5.41366582574727
N0425,-168.43579327531,-3.29223635515505,11.10805766896
N0426,-155.195516512194,-9.73743309203177,-2.86780691172832
N0427,-161.19379135851,-10.8218321450524,-3.69233322891828
N0428,-164.880368368701,-10.1109518226936,-1.72972837073786
N0429,-163.418265164723,-8.29660176805595,-2.72609890973419
N0430,-164.207765532916,-9.07390179356845,-1.0045903932063
N0431,-159.625670963673,-14.7976069866673,-16.5700179699145
N0432,-158.94555318282,-16.6557701518882,-17.2140793180915
N0433,-162.469669779985,-11.3320815525567,-2.29722399180891
N0434,-168.061325079617,-14.067373084532,4.2086399173534
N0435,-161.304312803818,-15.5597156236532,-9.55167957436236
N0436,-142.142773426972,-13.2706587118294,-3.57797903271679
N0437,-106.719991450899,-26.9931348411228,-63.3961482928411
N0438,-164.025069144972,-16.1396450744864,-3.17494046307117
N0439,-157.379579208854,-15.7240306610154,-16.7679717442076
N0440,-159.451427685789,-11.4530675820082,-10.1276333126396
N0441,-164.574555550558,-10.8562791416636,4.09296307598931
N0442,-163.616422436655,-10.7841778083597,4.03139663438494
N0443,-160.335217811731,-9.67528843799366,-5.39185166381535
N0444,-169.534662758513,-4.18301763726882,8.57120677666997
N0445,-154.43120715599,-18.9985436497737,-19.1768189995133
N0446,-166.328354913616,-11.3647057608862,1.27149852475108
N0447,-160.716396725508,-18.6247527206987,-9.69286394123203
N0448,-156.182822644015,-22.8847861974311,-19.004077735445
N0449,-165.381133312096,-6.63018281884263,0.0337491331474853
N0450,-165.965013755219,-10.4672870947367,-5.14476289285259
N0451,-159.673416755641,-16.7491319387441,-16.3539866147484
N0452,-159.890984183852,-16.7466409820744,-16.2334590530705
N0453,-157.651176138693,-13.6408660190398,-14.3049057726688
N0454,-157.398403700878,-14.9075229129573,-13.7365364096095
N0455,-157.489863973818,-20.2344453424848,-18.6369488074303
N0456,-169.407573685993,-4.17882910716777,8.80637551588249
N0457,-169.626779690631,-4.77991214383677,7.01504401219183
N0458,-96.6088465393191,-15.5160805498702,-50.4365866792145
N0459,-154.278841069417,-21.0803611944698,-16.3998030778276
N0460,-125.182497247771,-2.51267854009113,-9.56324629190982
N0461,-150.601476177661,-18.4061123450522,-23.0802237368515
